ShipmentID,ShipDate,Route,Carrier,WeightKg,Cost,TransitDays,OnTime,CostPerKg,Month,OnTimeFlag
704178,2024-01-01,EU Direct (Dublin-Cherbourg),Celtic Sealink,981.0,610.68,2,Y,0.623,2024-01,1
702505,2024-01-01,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1110.0,430.98,2,Y,0.388,2024-01,1
701880,2024-01-01,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2217.0,786.05,1,Y,0.355,2024-01,1
704851,2024-01-01,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1859.0,992.7,2,Y,0.534,2024-01,1
703405,2024-01-01,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2583.0,1745.1,2,Y,0.676,2024-01,1
700248,2024-01-01,UK Landbridge (Dublin-Holyhead),Celtic Sealink,235.0,94.22,2,Y,0.401,2024-01,1
703942,2024-01-01,EU Direct (Dublin-Cherbourg),Celtic Sealink,50.0,28.21,2,Y,0.564,2024-01,1
703354,2024-01-01,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,3379.0,2251.34,1,Y,0.666,2024-01,1
701298,2024-01-01,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1874.0,804.05,1,Y,0.429,2024-01,1
703905,2024-01-02,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2115.0,1442.11,3,Y,0.682,2024-01,1
701526,2024-01-02,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1996.0,723.94,2,N,0.363,2024-01,0
704406,2024-01-02,EU Direct (Dublin-Cherbourg),Celtic Sealink,908.0,510.49,2,Y,0.562,2024-01,1
705631,2024-01-02,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1979.0,1208.65,2,Y,0.611,2024-01,1
702170,2024-01-02,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1908.0,832.26,2,Y,0.436,2024-01,1
700936,2024-01-02,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2685.0,1114.81,1,Y,0.415,2024-01,1
703243,2024-01-03,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,775.0,540.25,2,Y,0.697,2024-01,1
700131,2024-01-03,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2757.0,999.76,1,Y,0.363,2024-01,1
704207,2024-01-03,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1638.0,1053.16,2,Y,0.643,2024-01,1
700750,2024-01-03,UK Landbridge (Dublin-Holyhead),Celtic Sealink,3227.0,1334.56,1,Y,0.414,2024-01,1
704124,2024-01-04,EU Direct (Dublin-Cherbourg),Celtic Sealink,1714.0,1015.33,1,Y,0.592,2024-01,1
700085,2024-01-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2387.0,969.04,1,N,0.406,2024-01,0
705040,2024-01-04,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,2318.0,1480.8,2,Y,0.639,2024-01,1
700350,2024-01-04,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2579.0,1019.45,1,Y,0.395,2024-01,1
703681,2024-01-04,EU Direct (Dublin-Cherbourg),Celtic Sealink,2375.0,1475.52,2,Y,0.621,2024-01,1
700813,2024-01-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2050.0,791.46,1,Y,0.386,2024-01,1
701210,2024-01-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1852.0,725.73,1,Y,0.392,2024-01,1
700588,2024-01-04,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1915.0,759.1,1,Y,0.396,2024-01,1
702636,2024-01-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1223.0,484.92,1,Y,0.397,2024-01,1
703082,2024-01-04,EU Direct (Dublin-Cherbourg),Celtic Sealink,2973.0,1814.08,2,Y,0.61,2024-01,1
700371,2024-01-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2406.0,941.81,1,Y,0.391,2024-01,1
702268,2024-01-04,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1442.0,557.86,1,N,0.387,2024-01,0
702904,2024-01-04,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2224.0,1373.38,3,Y,0.618,2024-01,1
705560,2024-01-05,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1330.0,715.33,2,Y,0.538,2024-01,1
703604,2024-01-05,EU Direct (Dublin-Cherbourg),Celtic Sealink,50.0,30.21,2,Y,0.604,2024-01,1
701272,2024-01-05,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2073.0,773.25,2,Y,0.373,2024-01,1
702320,2024-01-05,UK Landbridge (Dublin-Holyhead),Celtic Sealink,3357.0,1300.05,1,Y,0.387,2024-01,1
701943,2024-01-05,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1777.0,774.51,1,Y,0.436,2024-01,1
702754,2024-01-05,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3816.0,1346.68,1,Y,0.353,2024-01,1
702399,2024-01-06,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1154.0,507.91,2,Y,0.44,2024-01,1
702516,2024-01-06,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1967.0,738.58,1,Y,0.375,2024-01,1
704911,2024-01-06,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,2999.0,1892.15,2,Y,0.631,2024-01,1
703426,2024-01-06,EU Direct (Dublin-Cherbourg),Celtic Sealink,1758.0,1039.17,2,Y,0.591,2024-01,1
701095,2024-01-06,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2734.0,1217.89,2,Y,0.445,2024-01,1
705539,2024-01-07,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1337.0,647.31,1,Y,0.484,2024-01,1
704084,2024-01-07,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,962.0,649.21,2,Y,0.675,2024-01,1
701414,2024-01-07,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2773.0,1061.39,1,Y,0.383,2024-01,1
704617,2024-01-07,EU Direct (Dublin-Cherbourg),Celtic Sealink,2009.0,1138.66,2,N,0.567,2024-01,0
701694,2024-01-07,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3249.0,1315.43,1,Y,0.405,2024-01,1
703533,2024-01-07,EU Direct (Dublin-Cherbourg),Celtic Sealink,1501.0,842.5,2,Y,0.561,2024-01,1
704368,2024-01-07,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2769.0,1894.52,2,Y,0.684,2024-01,1
704795,2024-01-08,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1883.0,1111.96,3,Y,0.591,2024-01,1
705079,2024-01-08,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,2407.0,1210.67,2,Y,0.503,2024-01,1
700972,2024-01-08,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2609.0,1019.92,1,Y,0.391,2024-01,1
