ShipmentID,ShipDate,Route,Carrier,WeightKg,Cost,TransitDays,OnTime
703298,2025-09-05,EU Direct (Dublin-Cherbourg),Celtic Sealink,738.0,429.68,3,Y
701647,2025-01-14,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1694.0,649.78,1,Y
701824,2024-08-21,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1701.0,721.71,1,Y
700161,2024-08-21,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1768.0,677.96,,N
705395,2024-07-28,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1335.0,707.37,2,Y
703724,2024-12-27,EU Direct (Dublin-Cherbourg),Celtic Sealink,1561.0,960.17,2,Y
702976,2024-05-19,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,721.0,458.05,2,Y
700764,2024-06-10,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1772.0,690.44,1,Y
701661,2025-08-17,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1672.0,678.14,1,N
700541,2024-07-13,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2892.0,1160.5,1,Y
703253,2025-01-12,EU Direct (Dublin-Cherbourg),Celtic Sealink,4137.0,2265.21,3,Y
702760,2025-06-02,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2085.0,855.63,1,Y
704676,2024-02-28,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1395.0,732.79,2,Y
700869,2024-08-12,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2440.0,941.53,1,Y
703749,2025-06-03,EU Direct (Dublin-Cherbourg),Celtic Sealink,373.0,211.34,,Y
702903,2025-07-22,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2708.0,1782.92,2,Y
701488,2024-11-12,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2752.0,1145.41,1,N
704963,2025-09-29,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,2819.0,1375.79,2,Y
700549,2024-05-31,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,50,17.77,1,Y
703628,2025-12-01,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1802.0,1213.7,2,N
704901,2025-12-05,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,2393.0,1268.56,1,Y
701436,2024-01-19,UK Landbridge (Dublin-Holyhead),Celtic Sealink,790.0,331.16,1,Y
705655,2024-06-08,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1891.0,1185.52,2,Y
703260,2025-07-15,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1820.0,1161.97,2,Y
700612,2024-12-20,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3220.0,1167.37,1,N
701383,2024-09-24,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2410.0,882.92,1,Y
702519,2025-02-22,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1890.0,743.4,1,Y
703285,2024-08-16,EU Direct (Dublin-Cherbourg),Celtic Sealink,2009.0,1149.7,2,Y
704260,2025-06-25,EU Direct (Dublin-Cherbourg),Celtic Sealink,2618.0,1614.41,2,Y
703436,2025-01-12,EU Direct (Dublin-Cherbourg),Celtic Sealink,2540.0,1565.66,2,Y
700708,2024-03-18,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1932.0,740.14,1,Y
702873,2024-04-03,UK Landbridge (Dublin-Holyhead),Celtic Sealink,3158.0,1397.24,1,Y
705052,2024-10-21,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1790.0,1058.46,3,Y
701544,2025-10-15,UK Landbridge (Dublin-Holyhead),Celtic Sealink,499.0,199.75,1,Y
700326,2025-04-04,UK Landbridge (Dublin-Holyhead),CELTIC SEALINK,2335.0,914.5,2,Y
703929,2025-08-27,EU Direct (Dublin-Cherbourg),Celtic Sealink,2259.0,1329.68,2,Y
700917,2025-12-27,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2654.0,971.08,1,Y
700068,2025-04-11,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,765.0,300.9,1,Y
703252,2024-05-22,EU Direct (Dublin-Cherbourg),Celtic Sealink,3277.0,1856.61,2,Y
703215,2025-11-16,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2546.0,1793.53,1,Y
704753,2025-09-29,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,276.0,136.64,2,N
701075,2025-11-04,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2747.0,993.42,1,N
704349,2024-04-26,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2245.0,1528.47,2,N
705024,2025-04-05,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,2734.0,1367.03,2,Y
700429,2025-10-09,UK Landbridge (Dublin-Holyhead),Celtic Sealink,2717.0,1197.46,1,Y
701397,2025-01-08,UK Landbridge (Dublin-Holyhead),Celtic Sealink,3524.0,1465.92,1,Y
702023,2024-10-23,UK Landbridge (Dublin-Holyhead),NORDIC FREIGHT LINES,284.0,106.88,1,N
700358,2025-02-24,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1892.0,694.23,1,Y
704766,2024-08-02,EU Direct (Rosslare-Dunkirk),atlantic cargo ferries,1538.0,970.05,2,Y
700628,2024-01-14,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2313.0,923.2,1,Y
701378,2024-12-16,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1510.0,549.12,1,Y
702495,2025-06-23,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3196.0,1227.89,1,Y
702468,2024-05-25,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3223.0,1239.99,1,Y
704641,2024-07-15,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1252.0,754.32,2,N
701461,2025-01-19,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1702.0,629.39,1,Y
700515,2024-07-02,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,768.0,297.64,1,N
704876,2025-07-01,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,1764.0,1120.84,1,Y
703710,2025-02-07,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2403.0,1711.59,2,Y
705368,2025-11-14,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,589.0,293.02,2,Y
700298,2024-10-23,UK Landbridge (Dublin-Holyhead), Nordic Freight Lines ,3756.0,1475.97,1,Y
704087,2025-02-16,EU Direct (Dublin-Cherbourg), Atlantic Cargo Ferries ,1718.0,1125.45,2,Y
703163,2024-07-23,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1881.0,1319.49,2,Y
702032,2025-06-09,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,3075.0,1116.87,1,Y
703456,2025-12-26,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1253.0,778.73,2,Y
700574,2025-02-12,UK Landbridge (Dublin-Holyhead),NORDIC FREIGHT LINES,1768.0,665.73,1,Y
704755,2025-03-04,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,2499.0,1523.39,2,Y
702840,2024-10-04,UK Landbridge (Dublin-Holyhead),Celtic Sealink,1347.0,590.99,1,Y
704995,2025-05-12,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,50,23.32,2,Y
702839,2025-07-24,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1816.0,680.44,1,Y
701414,2024-01-07,UK Landbridge (Dublin-Holyhead),NORDIC FREIGHT LINES,2773.0,1061.39,1,Y
702422,2025-10-06,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1116.0,433.19,1,N
704931,2025-01-26,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,794.0,382.99,2,Y
700801,2025-02-24,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1423.0,559.25,1,Y
702980,2024-09-24,EU Direct (Dublin-Cherbourg),celtic sealink,612.0,351.85,2,Y
700623,2024-11-08,UK Landbridge (Dublin-Holyhead),CELTIC SEALINK,3642.0,1419.48,1,Y
702887,2025-08-19,EU Direct (Dublin-Cherbourg),Celtic Sealink,1816.0,1054.87,2,Y
700690,2024-05-14,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2803.0,1112.68,1,Y
700638,2025-03-17,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2661.0,1024.41,1,Y
704553,2025-08-03,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,2514.0,1716.08,2,Y
703653,2025-10-28,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1321.0,846.6,2,Y
703112,2024-01-30,EU Direct (Dublin-Cherbourg),Celtic Sealink,478.0,257.9,2,Y
703846,2024-03-25,EU Direct (Dublin-Cherbourg),Celtic Sealink,1031.0,642.13,3,Y
701166,2024-01-20,UK Landbridge (Dublin-Holyhead),celtic sealink,1900.0,850.81,1,Y
703440,2024-01-17,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1839.0,1183.09,3,Y
705015,2024-05-18,EU Direct (Rosslare-Dunkirk),Atlantic Cargo Ferries,2139.0,1407.4,2,Y
704649,2025-07-13,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1475.0,706.51,2,Y
705628,2024-03-29,EU Direct (Rosslare-Dunkirk),Nordic Freight Lines,1741.0,938.75,2,N
702924,2024-07-20,EU Direct (Dublin-Cherbourg),Atlantic Cargo Ferries,1231.0,765.22,2,Y
703612,2025-01-19,EU Direct (Dublin-Cherbourg),Celtic Sealink,1150.0,646.08,2,Y
701514,2024-06-13,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,1344.0,507.23,1,Y
700616,2024-07-30,UK Landbridge (Dublin-Holyhead),Celtic Sealink,3044.0,1184.94,1,Y
702114,2025-01-31,UK Landbridge (Dublin-Holyhead),Nordic Freight Lines,2635.0,1026.28,1,Y
